run_id,date,turn,agent_id,depth,read_limit,visible_post_count,visible_post_ids,visible_posts_json
simulation_20260706_223721,2026-02-27,2,A007,2,10,4,"[2002, 2004, 2005, 2006]","[{""post_id"": 2002, ""anonymous_code"": ""사자-8665"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2004, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""반도체 훈풍에 힘입어 삼성전자 추가 매수!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2005, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2006, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_223721,2026-02-27,2,A008,1,5,4,"[2002, 2003, 2004, 2005]","[{""post_id"": 2002, ""anonymous_code"": ""사자-8665"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2003, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 2004, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""반도체 훈풍에 힘입어 삼성전자 추가 매수!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2005, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_223721,2026-02-27,2,A011,1,5,4,"[2002, 2003, 2005, 2006]","[{""post_id"": 2002, ""anonymous_code"": ""사자-8665"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2003, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 2005, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2006, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_223721,2026-02-27,2,A012,1,5,4,"[2003, 2004, 2005, 2006]","[{""post_id"": 2003, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 2004, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""반도체 훈풍에 힘입어 삼성전자 추가 매수!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2005, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2006, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_223721,2026-02-27,2,A022,1,5,4,"[2002, 2003, 2004, 2006]","[{""post_id"": 2002, ""anonymous_code"": ""사자-8665"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2003, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 2004, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""반도체 훈풍에 힘입어 삼성전자 추가 매수!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2006, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_223721,2026-03-03,4,A007,2,10,4,"[2007, 2008, 2009, 2010]","[{""post_id"": 2007, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 주식 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2008, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 오늘 삼성전자 급락에 대한 생각"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2009, ""anonymous_code"": ""사자-8665"", ""post_type"": ""analysis"", ""title"": ""삼성전자 단기 조정 리스크와 대응 방안"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2010, ""anonymous_code"": ""여우-7933"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 삼성전자 단기 조정 및 MA20 지지선 확인 필요"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_223721,2026-03-03,4,A008,1,5,4,"[2007, 2008, 2009, 2011]","[{""post_id"": 2007, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 주식 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2008, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 오늘 삼성전자 급락에 대한 생각"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2009, ""anonymous_code"": ""사자-8665"", ""post_type"": ""analysis"", ""title"": ""삼성전자 단기 조정 리스크와 대응 방안"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2011, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""[매수 거래 공유] 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}]"
simulation_20260706_223721,2026-03-03,4,A011,1,5,4,"[2008, 2009, 2010, 2011]","[{""post_id"": 2008, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 오늘 삼성전자 급락에 대한 생각"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2009, ""anonymous_code"": ""사자-8665"", ""post_type"": ""analysis"", ""title"": ""삼성전자 단기 조정 리스크와 대응 방안"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2010, ""anonymous_code"": ""여우-7933"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 삼성전자 단기 조정 및 MA20 지지선 확인 필요"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2011, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""[매수 거래 공유] 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}]"
simulation_20260706_223721,2026-03-03,4,A012,1,5,4,"[2007, 2008, 2010, 2011]","[{""post_id"": 2007, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 주식 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2008, ""anonymous_code"": ""돌고래-5159"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 오늘 삼성전자 급락에 대한 생각"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2010, ""anonymous_code"": ""여우-7933"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 삼성전자 단기 조정 및 MA20 지지선 확인 필요"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2011, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""[매수 거래 공유] 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}]"
simulation_20260706_223721,2026-03-03,4,A022,1,5,4,"[2007, 2009, 2010, 2011]","[{""post_id"": 2007, ""anonymous_code"": ""돌고래-5489"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 주식 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2009, ""anonymous_code"": ""사자-8665"", ""post_type"": ""analysis"", ""title"": ""삼성전자 단기 조정 리스크와 대응 방안"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2010, ""anonymous_code"": ""여우-7933"", ""post_type"": ""analysis"", ""title"": ""[시장 분석] 삼성전자 단기 조정 및 MA20 지지선 확인 필요"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 2011, ""anonymous_code"": ""독수리-4082"", ""post_type"": ""trade_share"", ""title"": ""[매수 거래 공유] 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}]"
