run_id,date,turn,agent_id,depth,read_limit,visible_post_count,visible_post_ids,visible_posts_json
simulation_20260706_151500,2026-02-24,2,A008,1,5,2,"[1927, 1929]","[{""post_id"": 1927, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 1929, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_151500,2026-02-24,2,A044,1,5,2,"[1928, 1929]","[{""post_id"": 1928, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 125주 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]}, {""post_id"": 1929, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_151500,2026-02-24,2,A077,2,10,2,"[1927, 1928]","[{""post_id"": 1927, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 추가 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 1928, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 125주 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]}]"
simulation_20260706_151500,2026-02-25,4,A008,1,5,2,"[1931, 1932]","[{""post_id"": 1931, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""analysis"", ""title"": ""현재 삼성전자 주가에 대한 우려와 리스크 관리"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""커뮤니티 인플루언서""]}, {""post_id"": 1932, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_151500,2026-02-25,4,A044,1,5,2,"[1930, 1931]","[{""post_id"": 1930, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""[거래 공유] 삼성전자 31주 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 1931, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""analysis"", ""title"": ""현재 삼성전자 주가에 대한 우려와 리스크 관리"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""커뮤니티 인플루언서""]}]"
simulation_20260706_151500,2026-02-25,4,A077,2,10,2,"[1930, 1932]","[{""post_id"": 1930, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""[거래 공유] 삼성전자 31주 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 1932, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_151500,2026-02-26,6,A008,1,5,2,"[1933, 1935]","[{""post_id"": 1933, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""커뮤니티 인플루언서""]}, {""post_id"": 1935, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_151500,2026-02-26,6,A044,1,5,2,"[1933, 1934]","[{""post_id"": 1933, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""커뮤니티 인플루언서""]}, {""post_id"": 1934, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 7주 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}]"
simulation_20260706_151500,2026-02-26,6,A077,2,10,2,"[1934, 1935]","[{""post_id"": 1934, ""anonymous_code"": ""여우-7933"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 7주 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""상위 수익자"", ""자산가""]}, {""post_id"": 1935, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 매수했습니다!"", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}]"
simulation_20260706_151500,2026-02-27,8,A008,1,5,2,"[1936, 1938]","[{""post_id"": 1936, ""anonymous_code"": ""황소-4770"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 일부 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": []}, {""post_id"": 1938, ""anonymous_code"": ""돌고래-6439"", ""post_type"": ""trade_share"", ""title"": ""오늘 삼성전자 전량 매도했습니다."", ""like_count"": 0, ""unlike_count"": 0, ""score"": 0, ""author_badges"": [""커뮤니티 인플루언서""]}]"
